Date,Amount,Description
2022-11-21,21.98,8810 Debit Card Purchase Fireside Cafe Ann Arb
2022-11-21,26.5,8810 Debit Card Purchase Cardamomrestaurant
2022-11-22,4.99,8810 Recurring Debit Card Doordash Dashpass
2022-11-22,14.55,8810 Debit Card Purchase DD Doordash CVS
2022-11-25,10.58,POS Purchase Kroger #605 26 Ann Arbor Mi
2022-11-25,13.85,POS Purchase Om Market Ann Arbor Mi
2022-11-25,18.63,8810 Debit Card Purchase Domino's 1100 Ann Arb
2022-11-28,16.09,8810 Debit Card Purchase Panera Bread #601105 K
2022-11-28,19.94,8810 Debit Card Purchase Tst* Pizza House Foh G
2022-11-28,20.85,Zel To Sai Subrahmanya
2022-11-28,21.81,8810 Debit Card Purchase Burger King #26677
2022-11-28,31.8,8810 Debit Card Purchase The Himalayan Flames
2022-11-28,35.0,8810 Debit Card Purchase Grubhubnamasteflavour
2022-11-28,39.2,POS Purchase Burlington Sto Auburn Hills Mi
2022-11-28,44.49,POS Purchase Steve Madden 5 Auburn Hills Mi
2022-11-28,79.5,8810 Debit Card Purchase adidas 6295 Auburn Hil
2022-11-28,174.89,POS Purchase Eddie Bauer 76 Auburn Hills Mi
2022-11-28,1000.0,Zel From Sachin Salim
2022-11-29,1.05,International POS Fee Vis 1128 CD
2022-11-29,35.0,8810 Debit Card Purchase Lawdepot 877-509- 4398
2022-11-30,62.09,8810 Debit Card Purchase Paypal *Shein
2022-12-02,15.15,Zel From Shrikant Arvavasu
2022-12-02,980.0,ATM Deposit 2101 Bonisteel Ann Arbor Mi
2022-12-05,2.12,8810 Debit Card Purchase Tst* No Thai- Plymouth
2022-12-05,11.66,8810 Debit Card Purchase Tst* No Thai- Plymouth
2022-12-05,12.72,8810 Debit Card Purchase Tst* No Thai- Plymouth
2022-12-05,14.49,8810 Debit Card Purchase Om Market Ann Arbor M
2022-12-05,20.79,8810 Debit Card Purchase Om Market Ann Arbor M
2022-12-05,27.9,8810 Debit Card Purchase Hm.Com 855-
2022-12-05,35.31,Web Pmt- 800477474 Dte Energy
2022-12-05,78.4,8810 Debit Card Purchase Tmobile*Prepaid Web
2022-12-06,10.27,8810 Debit Card Purchase Grubhubburgerking
2022-12-06,29.85,8810 Debit Card Purchase Grubhubangelosonthesi
2022-12-07,13.1,8810 Debit Card Purchase DD Doordash Dashmart
2022-12-08,32.79,8810 Debit Card Purchase Grubhubmadrasmasala
2022-12-09,4.5,8810 Debit Card Purchase Mujo Cafe Ann Arbor M
2022-12-09,23.32,8810 Debit Card Purchase
2022-12-12,1.61,PNC Purchase Payback Award EFFECTIVE 12-10-22
2022-12-12,8.0,8810 Debit Card Purchase Fireside Cafe Ann Arb
2022-12-12,9.78,8810 Debit Card Purchase Fireside Cafe Ann
2022-12-12,18.33,8810 Debit Card Purchase DD Doordash Burgerkin
2022-12-12,18.63,8810 Debit Card Purchase Panera Bread #601105 K
2022-12-12,20.63,8810 Debit Card Purchase Grubhubangelosonthesi
2022-12-12,21.19,8810 Debit Card Purchase Grubhubnamasteflavour
2022-12-13,16.49,8810 Debit Card Purchase DD Doordash Angelos
2022-12-13,36.44,8810 Debit Card Purchase DD Doordash Burger1
2022-12-13,42.64,8810 Debit Card Purchase Grubhubnamasteflavour
2022-12-15,36.71,8810 Debit Card Purchase Grubhubaromaindiancui
2022-12-15,110.0,8810 Debit Card Purchase Amtrak .Com 3470725086
2022-12-16,62.53,Web Pmt- 800477474 Dte Energy
2022-12-19,0.99,8810 Debit Card Purchase Apple.Com/Bill
2022-12-19,10.0,Debit Card Credit Studentuniverse 800-2729676 MA
